,number,value,datetime_start,datetime_complete,duration,params_n_hidden_layers,params_n_neurons_per_layer,state
0,0,0.0013817534490636674,2020-08-21 22:46:09.496422,2020-08-21 22:48:45.802259,0 days 00:02:36.305837000,21,32,COMPLETE
1,1,0.001872223134649429,2020-08-21 22:48:46.366992,2020-08-21 22:52:00.880485,0 days 00:03:14.513493000,26,22,COMPLETE
2,2,0.002523489213770073,2020-08-21 22:52:02.998363,2020-08-21 22:55:03.647094,0 days 00:03:00.648731000,26,36,COMPLETE
3,3,0.013339803041457014,2020-08-21 22:55:04.454615,2020-08-21 22:56:53.869747,0 days 00:01:49.415132000,15,34,COMPLETE
4,4,0.0013123974868603221,2020-08-21 22:56:56.078170,2020-08-21 22:59:02.290699,0 days 00:02:06.212529000,18,34,COMPLETE
5,5,0.001997662881182542,2020-08-21 22:59:02.402774,2020-08-21 23:01:17.851383,0 days 00:02:15.448609000,19,37,COMPLETE
6,6,0.014003602030451307,2020-08-21 23:01:18.047720,2020-08-21 23:04:26.433319,0 days 00:03:08.385599000,25,26,COMPLETE
7,7,0.003751189365107634,2020-08-21 23:04:26.924082,2020-08-21 23:07:35.834570,0 days 00:03:08.910488000,26,24,COMPLETE
8,8,0.0018624183484921772,2020-08-21 23:07:35.931218,2020-08-21 23:09:49.493169,0 days 00:02:13.561951000,18,32,COMPLETE
9,9,0.002000143629669353,2020-08-21 23:09:53.419887,2020-08-21 23:13:00.561067,0 days 00:03:07.141180000,26,26,COMPLETE
10,10,0.0030168680080916396,2020-08-21 23:13:04.224706,2020-08-21 23:16:23.390774,0 days 00:03:19.166068000,30,40,COMPLETE
