,number,value,datetime_start,datetime_complete,duration,params_n_hidden_layers,params_n_neurons_per_layer,state
0,0,,2021-03-13 05:08:01.659207,2021-03-13 05:08:06.014667,0 days 00:00:04.355460,3,2,FAIL
1,1,,2021-03-13 05:08:01.737569,2021-03-13 05:08:06.054513,0 days 00:00:04.316944,14,10,FAIL
2,2,,2021-03-13 05:08:03.799869,2021-03-13 05:08:06.089167,0 days 00:00:02.289298,4,26,FAIL
3,3,,2021-03-13 05:08:03.814872,2021-03-13 05:08:06.058852,0 days 00:00:02.243980,8,24,FAIL
4,4,,2021-03-13 05:08:03.821902,2021-03-13 05:08:06.085292,0 days 00:00:02.263390,18,10,FAIL
5,5,,2021-03-13 05:08:09.147804,2021-03-13 05:08:11.341720,0 days 00:00:02.193916,18,36,FAIL
6,6,,2021-03-13 05:08:09.280794,2021-03-13 05:08:11.301911,0 days 00:00:02.021117,3,34,FAIL
7,7,,2021-03-13 05:08:10.027544,2021-03-13 05:08:12.361584,0 days 00:00:02.334040,10,6,FAIL
8,8,,2021-03-13 05:08:10.077682,2021-03-13 05:08:12.387198,0 days 00:00:02.309516,3,5,FAIL
9,9,,2021-03-13 05:08:11.766062,2021-03-13 05:08:13.708824,0 days 00:00:01.942762,19,29,FAIL
10,10,,2021-03-13 05:08:28.358823,2021-03-13 05:08:30.227016,0 days 00:00:01.868193,12,12,FAIL
11,11,,2021-03-13 05:11:36.443244,2021-03-13 05:11:38.934284,0 days 00:00:02.491040,14,16,FAIL
12,12,,2021-03-13 05:11:36.530995,2021-03-13 05:11:38.910664,0 days 00:00:02.379669,18,15,FAIL
13,13,,2021-03-13 05:11:43.008773,2021-03-13 05:11:45.411418,0 days 00:00:02.402645,8,26,FAIL
14,14,,2021-03-13 05:11:43.037081,2021-03-13 05:11:45.414953,0 days 00:00:02.377872,9,7,FAIL
15,15,,2021-03-13 05:11:44.641055,2021-03-13 05:11:51.329528,0 days 00:00:06.688473,2,14,FAIL
16,16,,2021-03-13 05:11:44.677636,2021-03-13 05:11:51.341771,0 days 00:00:06.664135,1,16,FAIL
17,17,,2021-03-13 05:11:44.685299,2021-03-13 05:11:51.341338,0 days 00:00:06.656039,1,30,FAIL
18,18,,2021-03-13 05:12:01.674935,2021-03-13 05:12:03.816123,0 days 00:00:02.141188,3,32,FAIL
19,19,,2021-03-13 05:12:01.856618,2021-03-13 05:12:03.722200,0 days 00:00:01.865582,9,27,FAIL
20,20,,2021-03-13 05:12:01.997745,2021-03-13 05:12:04.116244,0 days 00:00:02.118499,17,31,FAIL
21,21,,2021-03-13 05:12:02.078441,2021-03-13 05:12:04.123932,0 days 00:00:02.045491,19,34,FAIL
22,22,,2021-03-13 05:17:16.621134,2021-03-13 05:17:18.950020,0 days 00:00:02.328886,14,12,FAIL
23,23,,2021-03-13 05:17:19.565576,2021-03-13 05:17:21.602871,0 days 00:00:02.037295,19,11,FAIL
24,24,,2021-03-13 05:17:19.572921,2021-03-13 05:17:21.603813,0 days 00:00:02.030892,10,36,FAIL
25,25,,2021-03-13 05:17:24.210401,2021-03-13 05:17:26.407025,0 days 00:00:02.196624,13,29,FAIL
26,26,,2021-03-13 05:17:25.661850,2021-03-13 05:17:27.582399,0 days 00:00:01.920549,7,29,FAIL
27,27,,2021-03-13 05:17:25.683840,2021-03-13 05:17:27.603740,0 days 00:00:01.919900,6,26,FAIL
28,28,,2021-03-13 05:17:31.387852,2021-03-13 05:17:33.546351,0 days 00:00:02.158499,10,40,FAIL
29,29,,2021-03-13 05:17:36.674881,2021-03-13 05:17:38.716749,0 days 00:00:02.041868,12,37,FAIL
30,30,,2021-03-13 05:17:44.259315,2021-03-13 05:17:46.170245,0 days 00:00:01.910930,18,10,FAIL
31,31,,2021-03-13 05:17:45.663650,2021-03-13 05:17:47.749077,0 days 00:00:02.085427,15,6,FAIL
32,32,,2021-03-13 05:19:55.324030,,,18,10,RUNNING
33,33,,2021-03-13 05:19:55.851903,,,5,39,RUNNING
34,34,,2021-03-13 05:19:56.663207,,,8,13,RUNNING
35,35,,2021-03-13 05:22:46.923824,2021-03-13 05:23:00.764978,0 days 00:00:13.841154,13,30,FAIL
36,36,,2021-03-13 05:22:47.976352,2021-03-13 05:22:53.964034,0 days 00:00:05.987682,2,11,FAIL
37,37,,2021-03-13 05:22:48.138784,2021-03-13 05:22:55.415295,0 days 00:00:07.276511,5,11,FAIL
38,38,,2021-03-13 05:22:58.528213,2021-03-13 05:23:14.638977,0 days 00:00:16.110764,20,16,FAIL
39,39,,2021-03-13 05:22:58.551349,2021-03-13 05:23:07.775461,0 days 00:00:09.224112,5,27,FAIL
40,40,,2021-03-13 05:23:03.939523,2021-03-13 05:23:12.602333,0 days 00:00:08.662810,6,18,FAIL
41,41,,2021-03-13 05:23:12.267063,2021-03-13 05:23:26.336622,0 days 00:00:14.069559,15,31,FAIL
42,42,,2021-03-13 05:23:25.448102,2021-03-13 05:23:32.491721,0 days 00:00:07.043619,5,8,FAIL
43,43,,2021-03-13 05:23:27.266259,2021-03-13 05:23:42.766212,0 days 00:00:15.499953,17,15,FAIL
44,44,,2021-03-13 05:23:30.051894,2021-03-13 05:23:43.574185,0 days 00:00:13.522291,14,22,FAIL
45,45,,2021-03-13 05:23:32.944496,2021-03-13 05:23:42.846594,0 days 00:00:09.902098,4,19,FAIL
46,46,0.0962463606144474,2021-03-13 05:26:14.656129,2021-03-13 05:26:22.316814,0 days 00:00:07.660685,2,23,COMPLETE
47,47,0.26712673939538906,2021-03-13 05:26:14.729658,2021-03-13 05:26:34.497296,0 days 00:00:19.767638,15,19,COMPLETE
48,48,0.2128203026933213,2021-03-13 05:26:20.423637,2021-03-13 05:26:35.840979,0 days 00:00:15.417342,17,12,COMPLETE
49,49,0.22648572474629677,2021-03-13 05:26:20.450819,2021-03-13 05:26:31.971259,0 days 00:00:11.520440,9,27,COMPLETE
50,50,0.1588016243453768,2021-03-13 05:26:20.467748,2021-03-13 05:26:33.241191,0 days 00:00:12.773443,10,7,COMPLETE
51,51,0.1025341036748721,2021-03-13 05:26:22.561543,2021-03-13 05:26:29.077346,0 days 00:00:06.515803,4,7,COMPLETE
52,52,0.06105271752718388,2021-03-13 05:26:29.164109,2021-03-13 05:26:41.184507,0 days 00:00:12.020398,8,34,COMPLETE
53,53,0.3053333073928582,2021-03-13 05:26:32.029808,2021-03-13 05:26:48.336929,0 days 00:00:16.307121,19,26,COMPLETE
54,54,0.15372910110363977,2021-03-13 05:26:33.337003,2021-03-13 05:26:52.824307,0 days 00:00:19.487304,19,21,COMPLETE
55,55,0.20330411917082294,2021-03-13 05:26:34.561167,2021-03-13 05:26:45.786518,0 days 00:00:11.225351,9,16,COMPLETE
56,56,0.2667429554016257,2021-03-13 05:26:35.910057,2021-03-13 05:26:46.994631,0 days 00:00:11.084574,12,19,COMPLETE
57,57,0.1623326078349049,2021-03-13 05:26:41.254080,2021-03-13 05:27:05.147604,0 days 00:00:23.893524,19,10,COMPLETE
58,58,0.17134388371989412,2021-03-13 05:26:45.887626,2021-03-13 05:27:00.268983,0 days 00:00:14.381357,10,39,COMPLETE
59,59,0.27561335959832545,2021-03-13 05:26:47.041145,2021-03-13 05:26:54.998725,0 days 00:00:07.957580,9,2,COMPLETE
60,60,0.324169630644525,2021-03-13 05:26:48.393593,2021-03-13 05:26:55.319197,0 days 00:00:06.925604,5,40,COMPLETE
61,61,0.1173248398741702,2021-03-13 05:26:52.916618,2021-03-13 05:26:56.831831,0 days 00:00:03.915213,1,39,COMPLETE
62,62,0.07522341933058127,2021-03-13 05:26:55.066590,2021-03-13 05:26:58.609411,0 days 00:00:03.542821,1,34,COMPLETE
63,63,0.06272073246858904,2021-03-13 05:26:55.352822,2021-03-13 05:26:58.560028,0 days 00:00:03.207206,1,38,COMPLETE
64,64,0.08439798490480827,2021-03-13 05:26:56.890310,2021-03-13 05:27:00.281510,0 days 00:00:03.391200,1,34,COMPLETE
65,65,0.18953532612044527,2021-03-13 05:26:58.618310,2021-03-13 05:27:06.505817,0 days 00:00:07.887507,6,33,COMPLETE
66,66,0.3309684689575745,2021-03-13 05:26:58.706413,2021-03-13 05:27:06.802820,0 days 00:00:08.096407,6,33,COMPLETE
67,67,0.20555874872565028,2021-03-13 05:27:00.361252,2021-03-13 05:27:10.103151,0 days 00:00:09.741899,6,33,COMPLETE
68,68,0.27007030034216795,2021-03-13 05:27:00.370440,2021-03-13 05:27:08.098353,0 days 00:00:07.727913,6,33,COMPLETE
69,69,0.21849340740692186,2021-03-13 05:27:05.263439,2021-03-13 05:27:14.854223,0 days 00:00:09.590784,6,33,COMPLETE
70,70,0.22209451280647763,2021-03-13 05:27:06.542218,2021-03-13 05:27:18.580454,0 days 00:00:12.038236,13,30,COMPLETE
71,71,0.25750800386734224,2021-03-13 05:27:06.859113,2021-03-13 05:27:12.968922,0 days 00:00:06.109809,4,36,COMPLETE
72,72,0.199967895245117,2021-03-13 05:27:08.136008,2021-03-13 05:27:13.868052,0 days 00:00:05.732044,3,29,COMPLETE
73,73,0.17178595986735873,2021-03-13 05:27:10.164604,2021-03-13 05:27:17.908365,0 days 00:00:07.743761,3,29,COMPLETE
74,74,0.2076085286529355,2021-03-13 05:27:13.072011,2021-03-13 05:27:17.726104,0 days 00:00:04.654093,3,29,COMPLETE
75,75,0.22243177055179386,2021-03-13 05:27:13.912180,2021-03-13 05:27:28.007074,0 days 00:00:14.094894,13,37,COMPLETE
76,76,0.21748014251488748,2021-03-13 05:27:14.904049,2021-03-13 05:27:30.192825,0 days 00:00:15.288776,13,29,COMPLETE
77,77,0.21523555548043682,2021-03-13 05:27:17.825029,2021-03-13 05:27:32.095733,0 days 00:00:14.270704,13,37,COMPLETE
78,78,0.22563464649600493,2021-03-13 05:27:17.944211,2021-03-13 05:27:34.056140,0 days 00:00:16.111929,12,36,COMPLETE
79,79,0.12358765541613577,2021-03-13 05:27:18.618196,2021-03-13 05:27:21.852641,0 days 00:00:03.234445,1,37,COMPLETE
80,80,0.08407369513951761,2021-03-13 05:27:21.904310,2021-03-13 05:27:30.040076,0 days 00:00:08.135766,8,24,COMPLETE
81,81,0.12626460780368057,2021-03-13 05:27:28.109672,2021-03-13 05:27:31.442822,0 days 00:00:03.333150,1,24,COMPLETE
82,82,0.15335132622349065,2021-03-13 05:27:30.141394,2021-03-13 05:27:38.249506,0 days 00:00:08.108112,8,23,COMPLETE
83,83,0.1725353397567518,2021-03-13 05:27:30.241235,2021-03-13 05:27:39.670526,0 days 00:00:09.429291,7,24,COMPLETE
84,84,0.22218134485475685,2021-03-13 05:27:31.493560,2021-03-13 05:27:39.827653,0 days 00:00:08.334093,8,23,COMPLETE
85,85,0.22690812972164526,2021-03-13 05:27:32.183458,2021-03-13 05:27:50.313687,0 days 00:00:18.130229,17,24,COMPLETE
86,86,0.22790753582743634,2021-03-13 05:27:34.323258,2021-03-13 05:27:44.390241,0 days 00:00:10.066983,8,15,COMPLETE
87,87,0.2587318673873247,2021-03-13 05:27:38.305017,2021-03-13 05:27:52.159283,0 days 00:00:13.854266,16,16,COMPLETE
88,88,0.1565581326341863,2021-03-13 05:27:39.709928,2021-03-13 05:27:45.637683,0 days 00:00:05.927755,2,26,COMPLETE
89,89,0.13850100375990795,2021-03-13 05:27:39.865929,2021-03-13 05:27:53.780668,0 days 00:00:13.914739,16,14,COMPLETE
90,90,0.2486157485216054,2021-03-13 05:27:44.500002,2021-03-13 05:28:03.931398,0 days 00:00:19.431396,17,26,COMPLETE
91,91,0.2166389656431484,2021-03-13 05:27:45.682188,2021-03-13 05:28:05.883652,0 days 00:00:20.201464,16,35,COMPLETE
92,92,0.33250976671595145,2021-03-13 05:27:50.378231,2021-03-13 05:27:56.115300,0 days 00:00:05.737069,2,31,COMPLETE
93,93,0.14935855208828747,2021-03-13 05:28:04.036048,2021-03-13 05:28:11.574472,0 days 00:00:07.538424,4,35,COMPLETE
94,94,0.2156602397444769,2021-03-13 05:28:06.180695,2021-03-13 05:28:21.432794,0 days 00:00:15.252099,11,39,COMPLETE
95,95,0.21824375897279105,2021-03-13 05:28:11.785982,2021-03-13 05:28:26.409076,0 days 00:00:14.623094,10,40,COMPLETE
96,96,0.16324546937822015,2021-03-13 05:40:53.958982,2021-03-13 05:41:05.572660,0 days 00:00:11.613678,5,27,COMPLETE
97,97,0.12731511000328624,2021-03-13 05:40:54.729484,2021-03-13 05:41:05.618390,0 days 00:00:10.888906,5,31,COMPLETE
98,98,0.15016801903397678,2021-03-13 05:41:06.588615,2021-03-13 05:41:15.349694,0 days 00:00:08.761079,5,20,COMPLETE
99,99,0.28520014637341096,2021-03-13 05:41:07.250280,2021-03-13 05:41:15.499974,0 days 00:00:08.249694,5,31,COMPLETE
100,100,0.10480207763444743,2021-03-13 05:41:07.258565,2021-03-13 05:41:15.442156,0 days 00:00:08.183591,5,19,COMPLETE
101,101,0.07474379552734332,2021-03-13 05:41:09.299893,2021-03-13 05:41:14.330871,0 days 00:00:05.030978,2,19,COMPLETE
102,102,0.14732088150348388,2021-03-13 05:41:09.343193,2021-03-13 05:41:14.504076,0 days 00:00:05.160883,2,19,COMPLETE
103,103,0.13717136468679317,2021-03-13 05:41:14.434291,2021-03-13 05:41:18.449352,0 days 00:00:04.015061,1,19,COMPLETE
104,104,0.12401287439623905,2021-03-13 05:41:14.545016,2021-03-13 05:41:18.625278,0 days 00:00:04.080262,1,20,COMPLETE
105,105,0.1507296766016619,2021-03-13 05:41:15.404288,2021-03-13 05:41:18.309903,0 days 00:00:02.905615,1,18,COMPLETE
106,106,0.10209784791351251,2021-03-13 05:41:15.479172,2021-03-13 05:41:18.683831,0 days 00:00:03.204659,1,34,COMPLETE
107,107,0.12655283025478453,2021-03-13 05:41:15.576883,2021-03-13 05:41:18.526208,0 days 00:00:02.949325,1,8,COMPLETE
108,108,0.14899496052996583,2021-03-13 05:41:18.425822,2021-03-13 05:41:22.501514,0 days 00:00:04.075692,3,10,COMPLETE
109,109,0.12781171384401707,2021-03-13 05:41:18.490078,2021-03-13 05:41:25.191405,0 days 00:00:06.701327,3,8,COMPLETE
110,110,0.3041760408056443,2021-03-13 05:41:18.559783,2021-03-13 05:41:24.578135,0 days 00:00:06.018352,3,34,COMPLETE
111,111,0.13282916994185717,2021-03-13 05:41:18.716702,2021-03-13 05:41:25.412146,0 days 00:00:06.695444,3,2,COMPLETE
112,112,0.15858919226654028,2021-03-13 05:41:18.769582,2021-03-13 05:41:23.801624,0 days 00:00:05.032042,3,3,COMPLETE
113,113,0.06476843278641173,2021-03-13 05:41:22.556720,2021-03-13 05:41:26.124861,0 days 00:00:03.568141,2,22,COMPLETE
114,114,0.08375242226056638,2021-03-13 05:41:23.854327,2021-03-13 05:41:27.773749,0 days 00:00:03.919422,2,22,COMPLETE
115,115,0.11091759898018183,2021-03-13 05:41:24.624934,2021-03-13 05:41:28.202477,0 days 00:00:03.577543,2,17,COMPLETE
116,116,0.10015646212984912,2021-03-13 05:41:25.253092,2021-03-13 05:41:30.213084,0 days 00:00:04.959992,2,32,COMPLETE
117,117,0.18098150476679473,2021-03-13 05:41:25.459490,2021-03-13 05:41:47.553693,0 days 00:00:22.094203,20,22,COMPLETE
118,118,0.0721024622714734,2021-03-13 05:41:26.158282,2021-03-13 05:41:29.753389,0 days 00:00:03.595107,2,17,COMPLETE
119,119,0.19695614000237177,2021-03-13 05:41:27.810536,2021-03-13 05:41:34.998891,0 days 00:00:07.188355,7,22,COMPLETE
120,120,0.12569424267883025,2021-03-13 05:41:28.270824,2021-03-13 05:41:35.527944,0 days 00:00:07.257120,7,21,COMPLETE
121,121,0.0981665639197046,2021-03-13 05:41:29.789955,2021-03-13 05:41:33.366943,0 days 00:00:03.576988,2,21,COMPLETE
122,122,0.173711434915747,2021-03-13 05:41:30.290709,2021-03-13 05:41:37.267599,0 days 00:00:06.976890,4,22,COMPLETE
123,123,0.16757082648289312,2021-03-13 05:41:33.431879,2021-03-13 05:41:38.197577,0 days 00:00:04.765698,4,13,COMPLETE
124,124,0.17396809494403087,2021-03-13 05:41:35.105249,2021-03-13 05:41:39.831655,0 days 00:00:04.726406,4,12,COMPLETE
125,125,0.16360544208306793,2021-03-13 05:41:35.587179,2021-03-13 05:41:40.346686,0 days 00:00:04.759507,4,15,COMPLETE
126,126,0.07472850014170358,2021-03-13 05:41:37.414402,2021-03-13 05:41:44.049817,0 days 00:00:06.635415,4,13,COMPLETE
127,127,0.1369744899155787,2021-03-13 05:41:38.246797,2021-03-13 05:41:42.068071,0 days 00:00:03.821274,2,17,COMPLETE
