,number,value,datetime_start,datetime_complete,duration,params_n_hidden_layers,params_n_neurons_per_layer,state
0,0,0.021018526766369016,2020-08-22 00:21:18.253136,2020-08-22 00:24:06.057101,0 days 00:02:47.803965000,27,35,COMPLETE
1,1,0.11097599761569273,2020-08-22 00:24:06.590320,2020-08-22 00:27:46.819866,0 days 00:03:40.229546000,35,12,COMPLETE
2,2,0.0205706588029122,2020-08-22 00:27:46.829247,2020-08-22 00:29:39.494002,0 days 00:01:52.664755000,17,13,COMPLETE
3,3,0.019496613610671235,2020-08-22 00:29:39.504929,2020-08-22 00:31:34.763490,0 days 00:01:55.258561000,14,29,COMPLETE
4,4,0.022744492861345292,2020-08-22 00:31:40.762555,2020-08-22 00:35:15.401471,0 days 00:03:34.638916000,31,24,COMPLETE
5,5,0.11097139431725947,2020-08-22 00:35:15.408825,2020-08-22 00:38:31.480666,0 days 00:03:16.071841000,27,29,COMPLETE
6,6,0.11097599765293976,2020-08-22 00:38:31.507861,2020-08-22 00:42:49.871570,0 days 00:04:18.363709000,39,17,COMPLETE
7,7,0.11094533754169386,2020-08-22 00:42:49.916220,2020-08-22 00:46:15.387248,0 days 00:03:25.471028000,34,8,COMPLETE
8,8,0.021378077380406906,2020-08-22 00:46:15.401920,2020-08-22 00:47:11.330926,0 days 00:00:55.929006000,7,11,COMPLETE
9,9,0.11097598525572404,2020-08-22 00:47:11.832209,2020-08-22 00:51:51.900467,0 days 00:04:40.068258000,40,25,COMPLETE
10,10,0.010657613047628115,2020-08-22 00:51:51.909548,2020-08-22 00:53:21.351394,0 days 00:01:29.441846000,13,40,COMPLETE
11,11,0.006112511268081054,2020-08-22 00:53:21.402190,2020-08-22 00:54:45.068324,0 days 00:01:23.666134000,12,40,COMPLETE
12,12,0.011610690435620411,2020-08-22 00:54:45.069029,2020-08-22 00:55:34.944250,0 days 00:00:49.875221000,6,39,COMPLETE
13,13,0.011933027784674186,2020-08-22 00:55:34.944944,2020-08-22 00:57:04.192302,0 days 00:01:29.247358000,13,40,COMPLETE
14,14,0.020916289864919585,2020-08-22 00:57:04.193004,2020-08-22 00:59:12.133190,0 days 00:02:07.940186000,20,35,COMPLETE
15,15,0.01258016632291571,2020-08-22 00:59:12.133956,2020-08-22 01:00:24.132965,0 days 00:01:11.999009000,10,36,COMPLETE
16,16,0.11095739961538895,2020-08-22 01:00:24.133689,2020-08-22 01:02:59.288275,0 days 00:02:35.154586000,21,30,COMPLETE
17,17,0.019022388381072137,2020-08-22 01:02:59.288999,2020-08-22 01:04:17.162254,0 days 00:01:17.873255000,11,39,COMPLETE
18,18,0.01863936830619144,2020-08-22 01:04:17.162991,2020-08-22 01:06:26.675876,0 days 00:02:09.512885000,17,32,COMPLETE
19,19,0.0050989484376513525,2020-08-22 01:06:26.676599,2020-08-22 01:07:10.398285,0 days 00:00:43.721686000,5,19,COMPLETE
20,20,0.011709889184858317,2020-08-22 01:07:10.399022,2020-08-22 01:07:53.645027,0 days 00:00:43.246005000,5,17,COMPLETE
21,21,0.01424507770556024,2020-08-22 01:07:53.645753,2020-08-22 01:09:02.428209,0 days 00:01:08.782456000,9,20,COMPLETE
22,22,0.01979166684897276,2020-08-22 01:09:02.428934,2020-08-22 01:10:50.076447,0 days 00:01:47.647513000,15,20,COMPLETE
23,23,0.01437246351053785,2020-08-22 01:10:50.077184,2020-08-22 01:11:41.954781,0 days 00:00:51.877597000,5,16,COMPLETE
24,24,0.020506879745725907,2020-08-22 01:11:41.955521,2020-08-22 01:12:51.305386,0 days 00:01:09.349865000,9,21,COMPLETE
25,25,0.019211937355766203,2020-08-22 01:12:51.306151,2020-08-22 01:14:22.162909,0 days 00:01:30.856758000,12,26,COMPLETE
26,26,0.02225002494363315,2020-08-22 01:14:22.163637,2020-08-22 01:16:21.355277,0 days 00:01:59.191640000,18,37,COMPLETE
27,27,0.021296678769783996,2020-08-22 01:16:21.356030,2020-08-22 01:18:56.294288,0 days 00:02:34.938258000,25,33,COMPLETE
28,28,0.02270407904201703,2020-08-22 01:18:56.295031,2020-08-22 01:19:53.670967,0 days 00:00:57.375936000,7,5,COMPLETE
29,29,0.021529577266636266,2020-08-22 01:19:53.671699,2020-08-22 01:21:50.082004,0 days 00:01:56.410305000,15,27,COMPLETE
30,30,0.020881868550813715,2020-08-22 01:21:50.082742,2020-08-22 01:24:35.314339,0 days 00:02:45.231597000,23,22,COMPLETE
31,31,0.009214548584696667,2020-08-22 01:24:35.315105,2020-08-22 01:25:26.776585,0 days 00:00:51.461480000,5,40,COMPLETE
32,32,0.012111524659298259,2020-08-22 01:25:26.777282,2020-08-22 01:26:28.608902,0 days 00:01:01.831620000,8,38,COMPLETE
33,33,0.015223059450578698,2020-08-22 01:26:28.609617,2020-08-22 01:27:45.913650,0 days 00:01:17.304033000,11,40,COMPLETE
34,34,0.010091130257374794,2020-08-22 01:27:45.914341,2020-08-22 01:28:29.487071,0 days 00:00:43.572730000,5,33,COMPLETE
35,35,0.009053878677246725,2020-08-22 01:28:29.487753,2020-08-22 01:29:12.830652,0 days 00:00:43.342899000,5,33,COMPLETE
36,36,0.012513536488798974,2020-08-22 01:29:12.831315,2020-08-22 01:29:56.033373,0 days 00:00:43.202058000,5,14,COMPLETE
37,37,0.00746400872107683,2020-08-22 01:29:56.034065,2020-08-22 01:30:58.085110,0 days 00:01:02.051045000,8,35,COMPLETE
38,38,0.007343366489703799,2020-08-22 01:30:58.085894,2020-08-22 01:32:03.809570,0 days 00:01:05.723676000,8,31,COMPLETE
39,39,0.0073074260209319885,2020-08-22 01:32:03.810255,2020-08-22 01:33:22.587295,0 days 00:01:18.777040000,10,30,COMPLETE
40,40,0.020620761440260423,2020-08-22 01:33:22.587980,2020-08-22 01:35:21.729720,0 days 00:01:59.141740000,16,28,COMPLETE
41,41,0.01327418741621666,2020-08-22 01:35:21.730479,2020-08-22 01:36:27.511176,0 days 00:01:05.780697000,8,31,COMPLETE
42,42,0.013832597613142088,2020-08-22 01:36:27.511878,2020-08-22 01:37:38.785918,0 days 00:01:11.274040000,10,35,COMPLETE
43,43,0.0160435397122693,2020-08-22 01:37:38.786604,2020-08-22 01:38:35.448648,0 days 00:00:56.662044000,7,23,COMPLETE
44,44,0.006775272568742906,2020-08-22 01:38:35.449323,2020-08-22 01:40:16.861382,0 days 00:01:41.412059000,13,30,COMPLETE
45,45,0.017375619198381455,2020-08-22 01:40:16.862136,2020-08-22 01:41:54.159080,0 days 00:01:37.296944000,13,25,COMPLETE
46,46,0.020195656342314044,2020-08-22 01:41:54.159916,2020-08-22 01:44:15.383050,0 days 00:02:21.223134000,19,29,COMPLETE
47,47,0.0175946497202468,2020-08-22 01:44:15.383788,2020-08-22 01:45:57.331038,0 days 00:01:41.947250000,14,19,COMPLETE
48,48,0.02122464206776283,2020-08-22 01:45:57.331799,2020-08-22 01:49:27.343240,0 days 00:03:30.011441000,30,24,COMPLETE
49,49,0.0198366237253167,2020-08-22 01:49:27.343959,2020-08-22 01:50:52.304047,0 days 00:01:24.960088000,11,27,COMPLETE
50,50,0.0124770154298648,2020-08-22 01:50:52.304778,2020-08-22 01:52:11.698966,0 days 00:01:19.394188000,10,31,COMPLETE
51,51,0.008982113251336712,2020-08-22 01:52:11.699699,2020-08-22 01:53:06.770816,0 days 00:00:55.071117000,7,35,COMPLETE
52,52,0.008171228405828398,2020-08-22 01:53:06.771521,2020-08-22 01:54:19.067947,0 days 00:01:12.296426000,9,30,COMPLETE
53,53,0.017679942999159814,2020-08-22 01:54:19.068654,2020-08-22 01:55:42.007645,0 days 00:01:22.938991000,12,37,COMPLETE
54,54,0.02940002639069314,2020-08-22 01:55:42.008376,2020-08-22 01:56:42.552654,0 days 00:01:00.544278000,8,34,COMPLETE
55,55,0.009061283477330866,2020-08-22 01:56:42.553338,2020-08-22 01:58:29.960687,0 days 00:01:47.407349000,14,31,COMPLETE
56,56,0.01791162271188728,2020-08-22 01:58:29.961394,2020-08-22 01:59:52.938844,0 days 00:01:22.977450000,12,36,COMPLETE
57,57,0.007611617542321977,2020-08-22 01:59:52.939548,2020-08-22 02:00:46.103844,0 days 00:00:53.164296000,6,29,COMPLETE
58,58,0.015924225464752712,2020-08-22 02:00:46.104550,2020-08-22 02:02:07.143360,0 days 00:01:21.038810000,10,32,COMPLETE
59,59,0.02235216258692497,2020-08-22 02:02:07.144059,2020-08-22 02:03:58.790401,0 days 00:01:51.646342000,16,17,COMPLETE
60,60,0.006095017518437252,2020-08-22 02:03:58.791108,2020-08-22 02:04:53.547672,0 days 00:00:54.756564000,7,38,COMPLETE
61,61,0.009374008460684338,2020-08-22 02:04:53.548357,2020-08-22 02:05:48.371973,0 days 00:00:54.823616000,7,38,COMPLETE
62,62,0.01288608289908525,2020-08-22 02:05:48.372684,2020-08-22 02:06:54.473396,0 days 00:01:06.100712000,9,38,COMPLETE
63,63,0.006935803977952677,2020-08-22 02:06:54.474143,2020-08-22 02:07:44.559377,0 days 00:00:50.085234000,6,34,COMPLETE
64,64,0.016627026460452433,2020-08-22 02:07:44.560084,2020-08-22 02:08:35.147296,0 days 00:00:50.587212000,6,34,COMPLETE
65,65,0.004583709877666651,2020-08-22 02:08:35.148101,2020-08-22 02:09:27.089827,0 days 00:00:51.941726000,6,19,COMPLETE
66,66,0.1109759976572046,2020-08-22 02:09:27.090592,2020-08-22 02:13:32.870435,0 days 00:04:05.779843000,37,18,COMPLETE
67,67,0.007520388169138217,2020-08-22 02:13:32.871164,2020-08-22 02:14:24.182861,0 days 00:00:51.311697000,6,14,COMPLETE
68,68,0.019711177840183346,2020-08-22 02:14:24.183580,2020-08-22 02:15:46.587097,0 days 00:01:22.403517000,11,21,COMPLETE
69,69,0.020299995147779377,2020-08-22 02:15:46.587829,2020-08-22 02:17:19.176360,0 days 00:01:32.588531000,13,16,COMPLETE
70,70,0.009508251353269237,2020-08-22 02:17:19.177092,2020-08-22 02:18:09.141010,0 days 00:00:49.963918000,6,19,COMPLETE
71,71,0.013008035125343957,2020-08-22 02:18:09.141756,2020-08-22 02:19:20.204470,0 days 00:01:11.062714000,9,27,COMPLETE
72,72,0.011897889865481761,2020-08-22 02:19:20.205211,2020-08-22 02:20:15.321436,0 days 00:00:55.116225000,7,39,COMPLETE
73,73,0.006336708017048093,2020-08-22 02:20:15.322160,2020-08-22 02:21:24.396883,0 days 00:01:09.074723000,8,32,COMPLETE
74,74,0.014088716100127205,2020-08-22 02:21:24.397614,2020-08-22 02:22:35.571970,0 days 00:01:11.174356000,10,36,COMPLETE
75,75,0.0192336759120895,2020-08-22 02:22:35.572679,2020-08-22 02:24:04.859392,0 days 00:01:29.286713000,12,22,COMPLETE
76,76,0.014927025969217139,2020-08-22 02:24:04.860109,2020-08-22 02:24:57.527837,0 days 00:00:52.667728000,6,32,COMPLETE
77,77,0.020554454470497707,2020-08-22 02:24:57.528534,2020-08-22 02:26:03.410552,0 days 00:01:05.882018000,9,34,COMPLETE
78,78,0.008476117364682142,2020-08-22 02:26:03.411324,2020-08-22 02:26:46.951891,0 days 00:00:43.540567000,5,20,COMPLETE
79,79,0.018290869100379723,2020-08-22 02:26:46.952583,2020-08-22 02:27:47.644974,0 days 00:01:00.692391000,8,11,COMPLETE
80,80,0.019536774850758262,2020-08-22 02:27:47.645734,2020-08-22 02:29:27.507640,0 days 00:01:39.861906000,15,37,COMPLETE
81,81,0.006724668310479055,2020-08-22 02:29:27.508327,2020-08-22 02:30:33.764467,0 days 00:01:06.256140000,8,30,COMPLETE
82,82,0.018874423581030246,2020-08-22 02:30:33.765193,2020-08-22 02:32:00.270553,0 days 00:01:26.505360000,11,30,COMPLETE
83,83,0.005411433461074275,2020-08-22 02:32:00.271262,2020-08-22 02:32:45.481176,0 days 00:00:45.209914000,5,28,COMPLETE
84,84,0.007579224182522713,2020-08-22 02:32:45.481898,2020-08-22 02:33:31.919747,0 days 00:00:46.437849000,5,29,COMPLETE
85,85,0.00919253621035641,2020-08-22 02:33:31.920440,2020-08-22 02:34:29.586489,0 days 00:00:57.666049000,7,28,COMPLETE
86,86,0.020268934607107932,2020-08-22 02:34:29.587196,2020-08-22 02:37:06.461710,0 days 00:02:36.874514000,22,25,COMPLETE
87,87,0.013619052506761303,2020-08-22 02:37:06.462472,2020-08-22 02:37:52.265560,0 days 00:00:45.803088000,5,33,COMPLETE
88,88,0.012830793584565174,2020-08-22 02:37:52.266280,2020-08-22 02:38:57.178293,0 days 00:01:04.912013000,8,26,COMPLETE
89,89,0.022647688060468747,2020-08-22 02:38:57.179014,2020-08-22 02:39:54.841395,0 days 00:00:57.662381000,7,28,COMPLETE
90,90,0.013680452313861639,2020-08-22 02:39:54.842130,2020-08-22 02:40:44.887505,0 days 00:00:50.045375000,6,23,COMPLETE
91,91,0.016278265879768182,2020-08-22 02:40:44.888208,2020-08-22 02:41:56.889509,0 days 00:01:12.001301000,9,30,COMPLETE
92,92,0.016866058774960765,2020-08-22 02:41:56.890241,2020-08-22 02:43:19.130236,0 days 00:01:22.239995000,10,32,COMPLETE
93,93,0.012500533650242014,2020-08-22 02:43:19.130967,2020-08-22 02:44:24.688417,0 days 00:01:05.557450000,8,31,COMPLETE
94,94,0.013470390929958683,2020-08-22 02:44:24.689134,2020-08-22 02:45:57.285279,0 days 00:01:32.596145000,12,30,COMPLETE
95,95,0.012828011897924818,2020-08-22 02:45:57.285989,2020-08-22 02:47:08.586420,0 days 00:01:11.300431000,10,33,COMPLETE
96,96,0.015886200464907314,2020-08-22 02:47:08.587142,2020-08-22 02:48:06.862064,0 days 00:00:58.274922000,7,28,COMPLETE
97,97,0.015706011901018065,2020-08-22 02:48:06.862785,2020-08-22 02:49:18.794374,0 days 00:01:11.931589000,9,26,COMPLETE
98,98,0.010855958401314677,2020-08-22 02:49:18.795092,2020-08-22 02:50:08.082784,0 days 00:00:49.287692000,6,39,COMPLETE
99,99,0.019151871055127466,2020-08-22 02:50:08.083492,2020-08-22 02:51:42.705312,0 days 00:01:34.621820000,13,19,COMPLETE
