,number,value,datetime_start,datetime_complete,duration,params_n_hidden_layers,params_n_neurons_per_layer,state
0,0,0.021789977800140286,2020-08-23 08:59:38.888193,2020-08-23 08:59:48.723968,0 days 00:00:09.835775000,5,20,COMPLETE
1,1,0.022778201931579936,2020-08-23 08:59:48.724640,2020-08-23 09:00:03.731212,0 days 00:00:15.006572000,9,17,COMPLETE
2,2,0.022288788251081208,2020-08-23 09:00:03.731869,2020-08-23 09:00:13.949859,0 days 00:00:10.217990000,5,18,COMPLETE
3,3,0.022715783515161667,2020-08-23 09:00:13.950486,2020-08-23 09:00:29.089699,0 days 00:00:15.139213000,10,20,COMPLETE
4,4,0.022786540008621545,2020-08-23 09:00:29.090308,2020-08-23 09:00:41.648976,0 days 00:00:12.558668000,8,20,COMPLETE
5,5,0.022922234933377465,2020-08-23 09:00:41.649659,2020-08-23 09:00:59.369482,0 days 00:00:17.719823000,10,23,COMPLETE
6,6,0.02261211187497224,2020-08-23 09:00:59.370143,2020-08-23 09:01:10.866809,0 days 00:00:11.496666000,7,24,COMPLETE
7,7,0.022542154658320004,2020-08-23 09:01:10.867403,2020-08-23 09:01:23.409171,0 days 00:00:12.541768000,7,15,COMPLETE
8,8,0.02273291751142801,2020-08-23 09:01:23.409800,2020-08-23 09:01:38.999757,0 days 00:00:15.589957000,10,22,COMPLETE
9,9,0.022297989242416858,2020-08-23 09:01:39.000365,2020-08-23 09:01:50.547256,0 days 00:00:11.546891000,7,23,COMPLETE
10,10,0.02215501884295351,2020-08-23 09:01:50.547888,2020-08-23 09:02:00.686567,0 days 00:00:10.138679000,5,18,COMPLETE
11,11,0.022432645397075124,2020-08-23 09:02:00.687365,2020-08-23 09:02:10.153173,0 days 00:00:09.465808000,5,18,COMPLETE
12,12,0.022558889759880074,2020-08-23 09:02:10.153765,2020-08-23 09:02:20.156309,0 days 00:00:10.002544000,5,16,COMPLETE
13,13,0.02178568905945047,2020-08-23 09:02:20.156978,2020-08-23 09:02:30.225075,0 days 00:00:10.068097000,6,19,COMPLETE
14,14,0.02201081749156358,2020-08-23 09:02:30.225678,2020-08-23 09:02:40.677097,0 days 00:00:10.451419000,6,21,COMPLETE
15,15,0.021936250695102917,2020-08-23 09:02:40.677707,2020-08-23 09:02:50.855481,0 days 00:00:10.177774000,6,19,COMPLETE
16,16,0.022111595292589166,2020-08-23 09:02:50.856109,2020-08-23 09:03:01.083130,0 days 00:00:10.227021000,6,21,COMPLETE
17,17,0.022410681493469614,2020-08-23 09:03:01.083751,2020-08-23 09:03:14.083911,0 days 00:00:13.000160000,6,19,COMPLETE
18,18,0.021728901205423208,2020-08-23 09:03:14.084573,2020-08-23 09:03:31.418540,0 days 00:00:17.333967000,8,25,COMPLETE
19,19,0.022471102588343953,2020-08-23 09:03:31.419167,2020-08-23 09:03:44.364834,0 days 00:00:12.945667000,8,25,COMPLETE
20,20,0.02164406992928876,2020-08-23 09:03:44.365471,2020-08-23 09:03:57.875991,0 days 00:00:13.510520000,9,15,COMPLETE
21,21,0.021908068012090883,2020-08-23 09:03:57.876619,2020-08-23 09:04:13.188399,0 days 00:00:15.311780000,9,16,COMPLETE
22,22,0.022563014551059895,2020-08-23 09:04:13.189050,2020-08-23 09:04:26.654934,0 days 00:00:13.465884000,9,15,COMPLETE
