t,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
0,-61.5,-60.48,-59.46,-58.44,-57.42,-56.4,-55.38,-54.36,-53.34,-52.32,-51.3,-50.28,-49.26,-48.24,-47.22,-46.2,-45.18,-44.16,-43.14,-42.12,-41.1,-40.08,-39.06,-38.04,-37.02,-36,-34.98,-33.96,-32.94,-31.92,-30.9,-29.88,-28.86,-27.84,-26.82,-25.8,-24.78,-23.76,-22.74,-21.72,-20.7
1,-61.49761272,-60.47582029,-59.4556525,-58.43551318,-57.4153628,-56.39519887,-55.37501957,-54.3548228,-53.33460609,-52.31436656,-51.29410076,-50.27380464,-49.25347334,-48.23310106,-47.2126808,-46.19220409,-45.17166063,-44.15103782,-43.13032016,-42.10948845,-41.08851882,-40.0673814,-39.04603852,-38.02444251,-37.00253257,-35.98023076,-34.95743661,-33.93401993,-32.90981117,-31.8845887,-30.85806194,-29.82984966,-28.79945371,-27.7662353,-26.7294275,-25.68830769,-24.64289236,-23.59599565,-22.55813418,-21.55705912,-20.65278718
2,-61.49539934,-60.47167907,-59.45130513,-58.43102451,-57.41072343,-56.39039528,-55.37003634,-54.34964239,-53.32920849,-52.30872882,-51.2881965,-50.26760337,-49.24693968,-48.22619375,-47.2053515,-46.1843959,-45.16330619,-44.14205694,-43.12061686,-42.09894715,-41.07699948,-40.05471319,-39.0320117,-38.00879772,-36.98494676,-35.96029851,-34.93464512,-33.90771526,-32.87915239,-31.8484849,-30.81508532,-29.77811605,-28.73646654,-27.6887232,-26.63334142,-25.56951202,-24.49971729,-23.43505316,-22.40254003,-21.44890182,-20.63086215
3,-61.49334047,-60.46757781,-59.44695873,-58.42653405,-57.40608191,-56.38558923,-55.3650503,-54.34445876,-53.32380717,-52.30308677,-51.2822872,-50.26139616,-49.24039897,-48.21927801,-47.19801205,-46.17657536,-45.15493656,-44.13305721,-43.1108899,-42.08837582,-41.06544153,-40.04199469,-39.01791848,-37.99306395,-36.96723985,-35.9401987,-34.91161771,-33.88107227,-32.84799888,-31.81164271,-30.77098367,-29.72463806,-28.67076105,-27.60709251,-26.53161672,-25.44485671,-24.35493882,-23.28452312,-22.27388145,-21.37211634,-20.61700733
4,-61.49141902,-60.46351755,-59.44261411,-58.42204187,-57.40143822,-56.38078073,-55.36006146,-54.33927191,-53.31840213,-52.29744039,-51.27637284,-50.255183,-49.2338512,-48.21235382,-47.1906624,-46.16874238,-45.14655164,-44.12403848,-43.10113908,-42.07777415,-41.0538445,-40.02922521,-39.00375776,-37.97723944,-36.94940896,-35.9199265,-34.88834602,-33.85407603,-32.81632318,-31.77401025,-30.72565838,-29.66923643,-28.6020599,-27.52109193,-26.4245674,-25.31630066,-24.21266939,-23.14763507,-22.16749277,-21.31379524,-20.60676385
5,-61.48961992,-60.45949898,-59.43827207,-58.41754805,-57.39679237,-56.37596975,-55.3550698,-54.33408183,-53.31299336,-52.29178968,-51.27045341,-50.24896387,-49.22729633,-48.20542114,-47.18330249,-46.16089691,-45.13815134,-44.11500062,-43.09136418,-42.06714182,-41.04220794,-40.01640402,-38.98952841,-37.96132239,-36.93145109,-35.8994768,-34.8648211,-33.82671029,-32.78409476,-31.73552896,-30.67899858,-29.61172003,-28.53011426,-27.43064521,-26.3129131,-25.18605847,-24.07590321,-23.02478711,-22.07832116,-21.26711407,-20.59859193
6,-61.48792989,-60.45552248,-59.43393336,-58.41305268,-57.39214437,-56.3711563,-55.35007531,-54.3288885,-53.30758084,-52.28613462,-51.2645289,-50.24273873,-49.22073434,-48.19847992,-47.17593227,-46.15303886,-45.12973555,-44.10594346,-43.08156499,-42.05647851,-41.03053136,-40.00353039,-38.97522927,-37.9453109,-36.9133631,-35.87884418,-34.8410333,-33.7989572,-32.75127955,-31.69613297,-30.63088224,-29.55189544,-28.45473175,-27.33587531,-26.19766721,-25.05622153,-23.94641882,-22.91495077,-22.0022935,-21.22830827,-20.59178662
7,-61.48633719,-60.45158818,-59.42959873,-58.40855589,-57.38749423,-56.36634038,-55.345078,-54.32369193,-53.30216457,-52.2804752,-51.25859927,-50.23650757,-49.21416519,-48.19153013,-47.16855168,-46.14516816,-45.12130416,-44.09686688,-43.0717413,-42.04578392,-41.01881427,-39.99060356,-38.96085914,-37.92920301,-36.89514168,-35.8580229,-34.81697219,-33.77079716,-32.71783955,-31.65574892,-30.58117856,-29.48957836,-28.37579893,-27.23709747,-26.07999731,-24.92853338,-23.82500895,-22.81658581,-21.93639976,-21.19515603,-20.58595762
8,-61.48483147,-60.44769599,-59.42526886,-58.40405779,-57.38284194,-56.36152197,-55.34007785,-54.3184921,-53.29674454,-52.2748114,-51.25266452,-50.23027037,-49.20758885,-48.18457173,-47.16116067,-46.13728474,-45.11285708,-44.0877707,-43.06189287,-42.03505769,-41.00705617,-39.97762275,-38.94641676,-37.91299667,-36.87678334,-35.83700679,-34.79262649,-33.74220857,-32.68373247,-31.61429616,-30.52975155,-29.42460544,-28.29329525,-27.13478884,-25.96109609,-24.80430618,-23.71178977,-22.72810891,-21.87846149,-21.16625459,-20.58086298
9,-61.48340358,-60.44384565,-59.42094442,-58.3995585,-57.37818752,-56.35670108,-55.33507486,-54.31328901,-53.29132074,-52.26914322,-51.24672463,-50.2240271,-49.2010053,-48.17760466,-47.15375919,-46.12938851,-45.10439418,-44.07865477,-43.05201948,-42.0242995,-40.99525656,-39.96458715,-38.93190086,-37.89668973,-36.85828442,-35.81578931,-34.76798393,-33.71316759,-32.64891147,-31.57168737,-30.4764646,-29.35684517,-28.20729763,-27.02954474,-25.84208262,-24.68443287,-23.60647016,-22.648088,-21.82689262,-21.14066545,-20.57634149
